"Image Name","PID","Session Name","Session#","Mem Usage"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","12 K"
"Secure System","140","Services","0","40,808 K"
"Registry","184","Services","0","19,536 K"
"smss.exe","668","Services","0","264 K"
"csrss.exe","756","Services","0","1,968 K"
"wininit.exe","1056","Services","0","724 K"
"csrss.exe","1064","Console","1","3,296 K"
"winlogon.exe","1156","Console","1","2,868 K"
"services.exe","1184","Services","0","8,148 K"
"LsaIso.exe","1224","Services","0","820 K"
"lsass.exe","1232","Services","0","14,404 K"
"svchost.exe","1380","Services","0","24,732 K"
"fontdrvhost.exe","1412","Console","1","1,344 K"
"fontdrvhost.exe","1420","Services","0","164 K"
"WUDFHost.exe","1428","Services","0","324 K"
"svchost.exe","1552","Services","0","14,852 K"
"svchost.exe","1604","Services","0","4,456 K"
"WUDFHost.exe","1648","Services","0","6,100 K"
"dwm.exe","1732","Console","1","47,680 K"
"svchost.exe","1816","Services","0","1,236 K"
"svchost.exe","1880","Services","0","2,560 K"
"svchost.exe","1904","Services","0","1,920 K"
"svchost.exe","1928","Services","0","7,992 K"
"svchost.exe","2044","Services","0","2,852 K"
"svchost.exe","748","Services","0","2,964 K"
"svchost.exe","1068","Services","0","2,148 K"
"svchost.exe","2076","Services","0","19,208 K"
"svchost.exe","2096","Services","0","9,392 K"
"IntelCpHDCPSvc.exe","2132","Services","0","1,764 K"
"svchost.exe","2144","Services","0","5,552 K"
"svchost.exe","2176","Services","0","1,612 K"
"svchost.exe","2264","Services","0","7,760 K"
"svchost.exe","2276","Services","0","4,816 K"
"IntelCpHeciSvc.exe","2384","Services","0","1,828 K"
"svchost.exe","2500","Services","0","6,676 K"
"svchost.exe","2520","Services","0","12,320 K"
"svchost.exe","2544","Services","0","5,576 K"
"igfxCUIService.exe","2684","Services","0","276 K"
"svchost.exe","2724","Services","0","1,168 K"
"svchost.exe","2864","Services","0","1,028 K"
"svchost.exe","3020","Services","0","6,256 K"
"svchost.exe","1244","Services","0","15,000 K"
"vmms.exe","3080","Services","0","6,348 K"
"svchost.exe","3164","Services","0","2,668 K"
"svchost.exe","3212","Services","0","7,168 K"
"svchost.exe","3248","Services","0","12,740 K"
"svchost.exe","3256","Services","0","4,564 K"
"svchost.exe","3324","Services","0","1,392 K"
"svchost.exe","3332","Services","0","6,732 K"
"AppHelperCap.exe","3428","Services","0","12,044 K"
"svchost.exe","3436","Services","0","2,256 K"
"svchost.exe","3444","Services","0","3,044 K"
"svchost.exe","3460","Services","0","3,624 K"
"Memory Compression","3484","Services","0","943,228 K"
"SysInfoCap.exe","3496","Services","0","13,824 K"
"DiagsCap.exe","3512","Services","0","2,704 K"
"TouchpointAnalyticsClientService.exe","3536","Services","0","25,788 K"
"NetworkCap.exe","3544","Services","0","8,232 K"
"hpsvcsscan.exe","3552","Services","0","18,268 K"
"svchost.exe","3860","Services","0","11,988 K"
"svchost.exe","3948","Services","0","9,748 K"
"svchost.exe","3984","Services","0","8,356 K"
"vmcompute.exe","4316","Services","0","9,100 K"
"svchost.exe","4448","Services","0","680 K"
"unsecapp.exe","4648","Services","0","3,296 K"
"svchost.exe","4856","Services","0","3,896 K"
"WmiPrvSE.exe","4896","Services","0","19,780 K"
