name	path	score	rating	fm	struct	content	dry	refs	lines
1password	C:\Users\Alexa\AppData\Local\hermes\skills\1password	60	WARN	15	4	16	15	10	164
3-statement-model	C:\Users\Alexa\AppData\Local\hermes\skills\3-statement-model	70	WARN	20	12	12	16	10	447
acpx-executor	C:\Users\Alexa\AppData\Local\hermes\skills\acpx-executor	66	WARN	20	10	16	15	5	52
agentmail	C:\Users\Alexa\AppData\Local\hermes\skills\agentmail	66	WARN	18	12	16	15	5	144
antigravity-cli	C:\Users\Alexa\AppData\Local\hermes\skills\antigravity-cli	72	WARN	15	12	20	15	10	242
architecture-blueprint-generator	C:\Users\Alexa\AppData\Local\hermes\skills\architecture\architecture-blueprint-generator	81	PASS	20	20	16	15	10	122
folder-structure-blueprint-generator	C:\Users\Alexa\AppData\Local\hermes\skills\architecture\folder-structure-blueprint-generator	81	PASS	20	20	16	15	10	87
technology-stack-blueprint-generator	C:\Users\Alexa\AppData\Local\hermes\skills\architecture\technology-stack-blueprint-generator	85	PASS	20	20	20	15	10	97
agent-browser	C:\Users\Alexa\AppData\Local\hermes\skills\autonomous-ai-agents\agent-browser	74	WARN	18	20	16	15	5	125
agent-governance	C:\Users\Alexa\AppData\Local\hermes\skills\autonomous-ai-agents\agent-governance	67	WARN	18	16	12	16	5	596
agentic-eval	C:\Users\Alexa\AppData\Local\hermes\skills\autonomous-ai-agents\agentic-eval	70	WARN	18	16	16	15	5	220
customize-opencode	C:\Users\Alexa\AppData\Local\hermes\skills\autonomous-ai-agents\customize-opencode	74	WARN	18	20	16	15	5	104
enhance-markdown	C:\Users\Alexa\AppData\Local\hermes\skills\autonomous-ai-agents\enhance-markdown	81	PASS	20	20	20	11	10	281
hermes-breakdown	C:\Users\Alexa\AppData\Local\hermes\skills\autonomous-ai-agents\hermes-breakdown	78	WARN	20	20	8	15	15	119
hermes-skill-library-maintenance	C:\Users\Alexa\AppData\Local\hermes\skills\autonomous-ai-agents\hermes-skill-library-maintenance	84	PASS	20	20	20	9	15	579
multi-agent-sync	C:\Users\Alexa\AppData\Local\hermes\skills\autonomous-ai-agents\multi-agent-sync	77	WARN	20	16	16	15	10	179
qwen-code	C:\Users\Alexa\AppData\Local\hermes\skills\autonomous-ai-agents\qwen-code	78	WARN	18	20	20	15	5	236
template	C:\Users\Alexa\AppData\Local\hermes\skills\autonomous-ai-agents\template	73	WARN	18	20	12	13	10	199
using-superpowers	C:\Users\Alexa\AppData\Local\hermes\skills\autonomous-ai-agents\using-superpowers	83	PASS	20	20	20	13	10	194
axolotl	C:\Users\Alexa\AppData\Local\hermes\skills\axolotl	67	WARN	18	12	12	15	10	187
bioinformatics	C:\Users\Alexa\AppData\Local\hermes\skills\bioinformatics	64	WARN	18	12	16	13	5	254
blackbox	C:\Users\Alexa\AppData\Local\hermes\skills\blackbox	63	WARN	18	12	8	20	5	166
blender-mcp	C:\Users\Alexa\AppData\Local\hermes\skills\blender-mcp	70	WARN	18	16	16	15	5	148
boost-prompt	C:\Users\Alexa\AppData\Local\hermes\skills\boost-prompt	62	WARN	20	10	12	15	5	50
bun-nextjs	C:\Users\Alexa\AppData\Local\hermes\skills\bun-nextjs	66	WARN	20	12	16	13	5	338
bun-shell	C:\Users\Alexa\AppData\Local\hermes\skills\bun-shell	64	WARN	20	12	16	11	5	409
canvas	C:\Users\Alexa\AppData\Local\hermes\skills\canvas	60	WARN	15	4	16	15	10	99
chainlink	C:\Users\Alexa\AppData\Local\hermes\skills\chainlink	64	WARN	20	12	12	15	5	92
chroma	C:\Users\Alexa\AppData\Local\hermes\skills\chroma	69	WARN	20	12	16	11	10	421
ci-cd-best-practices	C:\Users\Alexa\AppData\Local\hermes\skills\ci-cd-best-practices	68	WARN	20	12	20	11	5	532
ci-cd-pipeline-builder	C:\Users\Alexa\AppData\Local\hermes\skills\ci-cd-pipeline-builder	83	PASS	20	12	16	20	15	106
claude-code	C:\Users\Alexa\AppData\Local\hermes\skills\claude-code	70	WARN	18	16	16	15	5	769
clip	C:\Users\Alexa\AppData\Local\hermes\skills\clip	75	WARN	20	12	20	13	10	268
cloudflare-temporary-deploy	C:\Users\Alexa\AppData\Local\hermes\skills\cloudflare-temporary-deploy	72	WARN	15	12	20	15	10	128
code-wiki	C:\Users\Alexa\AppData\Local\hermes\skills\code-wiki	67	WARN	15	12	16	14	10	446
computer-use	C:\Users\Alexa\AppData\Local\hermes\skills\computer-use	65	WARN	18	12	12	18	5	294
concept-diagrams	C:\Users\Alexa\AppData\Local\hermes\skills\concept-diagrams	63	WARN	15	4	16	13	15	363
algorithmic-art	C:\Users\Alexa\AppData\Local\hermes\skills\creative\algorithmic-art	75	WARN	18	20	12	15	10	112
architecture-diagram	C:\Users\Alexa\AppData\Local\hermes\skills\creative\architecture-diagram	72	WARN	18	12	12	20	10	175
ascii-art	C:\Users\Alexa\AppData\Local\hermes\skills\creative\ascii-art	68	WARN	18	16	16	13	5	317
ascii-video	C:\Users\Alexa\AppData\Local\hermes\skills\creative\ascii-video	73	WARN	18	12	20	13	10	276
baoyu-article-illustrator	C:\Users\Alexa\AppData\Local\hermes\skills\creative\baoyu-article-illustrator	78	WARN	20	16	12	20	10	228
baoyu-comic	C:\Users\Alexa\AppData\Local\hermes\skills\creative\baoyu-comic	70	WARN	18	12	12	18	10	265
baoyu-infographic	C:\Users\Alexa\AppData\Local\hermes\skills\creative\baoyu-infographic	70	WARN	18	12	12	18	10	260
brand-guidelines	C:\Users\Alexa\AppData\Local\hermes\skills\creative\brand-guidelines	74	WARN	18	20	16	15	5	124
canvas-design	C:\Users\Alexa\AppData\Local\hermes\skills\creative\canvas-design	70	WARN	18	20	12	15	5	126
claude-design	C:\Users\Alexa\AppData\Local\hermes\skills\creative\claude-design	70	WARN	18	16	16	10	10	626
comfyui	C:\Users\Alexa\AppData\Local\hermes\skills\creative\comfyui	80	PASS	18	16	16	15	15	624
content-research-writer	C:\Users\Alexa\AppData\Local\hermes\skills\creative\content-research-writer	81	PASS	20	20	16	15	10	91
creative-ideation	C:\Users\Alexa\AppData\Local\hermes\skills\creative\creative-ideation	72	WARN	18	12	12	20	10	199
design-md	C:\Users\Alexa\AppData\Local\hermes\skills\creative\design-md	71	WARN	18	12	16	15	10	218
