                               Installed Skills                                
┌───────────────────┬───────────────────┬────────┬───────┬────────────────────┐
│ Name              │ Category          │ Source │ Trust │ Status             │
├───────────────────┼───────────────────┼────────┼───────┼────────────────────┤
│ instruction-tria… │ agent-core-archi… │ local  │ local │ enabled            │
│ acreadiness-poli… │ agent-development │ local  │ local │ enabled            │
│ add-educational-… │ agent-development │ local  │ local │ enabled            │
│ agent-core-archi… │ agent-development │ local  │ local │ enabled            │
│ agent-governance  │ agent-development │ local  │ local │ enabled            │
│ agent-orchestrat… │ agent-development │ local  │ local │ enabled            │
│ agent-owasp-comp… │ agent-development │ local  │ local │ enabled            │
│ agent-skill-stack │ agent-development │ local  │ local │ enabled            │
│ agent-supply-cha… │ agent-development │ local  │ local │ enabled            │
│ agentic-eval      │ agent-development │ local  │ local │ enabled            │
│ arize-ai-provide… │ agent-development │ local  │ local │ enabled            │
│ breakdown-epic-a… │ agent-development │ local  │ local │ enabled            │
│ breakdown-epic-pm │ agent-development │ local  │ local │ enabled            │
│ breakdown-featur… │ agent-development │ local  │ local │ enabled            │
│ competitor-ad-in… │ agent-development │ local  │ local │ enabled            │
│ copilot-cli-quic… │ agent-development │ local  │ local │ enabled            │
│ copilot-instruct… │ agent-development │ local  │ local │ enabled            │
│ copilot-pr-autop… │ agent-development │ local  │ local │ enabled            │
│ copilot-sdk       │ agent-development │ local  │ local │ enabled            │
│ copilot-spaces    │ agent-development │ local  │ local │ enabled            │
│ copilot-usage-me… │ agent-development │ local  │ local │ enabled            │
│ create-github-is… │ agent-development │ local  │ local │ enabled            │
│ create-github-is… │ agent-development │ local  │ local │ enabled            │
│ create-github-is… │ agent-development │ local  │ local │ enabled            │
│ daily-prep        │ agent-development │ local  │ local │ enabled            │
│ datanalysis-cred… │ agent-development │ local  │ local │ enabled            │
│ drawio            │ agent-development │ local  │ local │ enabled            │
│ eyeball           │ agent-development │ local  │ local │ enabled            │
│ finalize-agent-p… │ agent-development │ local  │ local │ enabled            │
│ git-flow-branch-… │ agent-development │ local  │ local │ enabled            │
│ gtm-board-and-in… │ agent-development │ local  │ local │ enabled            │
│ introspection-on… │ agent-development │ local  │ local │ enabled            │
│ multi-agent-fano… │ agent-development │ local  │ local │ enabled            │
│ phoenix-evals     │ agent-development │ local  │ local │ enabled            │
│ phoenix-tracing   │ agent-development │ local  │ local │ enabled            │
│ power-bi-dax-opt… │ agent-development │ local  │ local │ enabled            │
